Stimulus,ELP_N_morphs,Crowdsourced_Mean_Morpheme_Count,Crowdsourced_Raw_SD,Crowdsourced_Raw_Median,Crowdsourced_Min,Crowdsourced_Max,Crowdsourced_N,BLUP_Adjusted_Moprheme_Count,BLUP_Adjustment,Transparencey_Measures: ,Signed_Discrepancy_BLUP_minus_ELP,Absolute_Discrepancy,Transparency_Proximity_0_1,Undersegmentation,Oversegmentation,BLUP_Rounded,Item_Rest_Cor,Item_Rest_N
overgeneralization,4.00,4.18,1.94,4.00,1.00,8.00,11.00,4.12,1.42,,0.12,0.12,0.89,0.00,0.12,4.00,0.92,11.00
oversensationalized,5.00,4.36,1.50,4.00,1.00,7.00,11.00,4.22,1.51,,-0.78,0.78,0.56,0.78,0.00,4.00,0.65,11.00
pageantry,2.00,2.60,0.97,2.50,1.00,4.00,10.00,2.57,-0.14,,0.57,0.57,0.64,0.00,0.57,3.00,0.75,10.00
prospectuses,4.00,3.33,0.87,4.00,2.00,4.00,9.00,3.34,0.64,,-0.66,0.66,0.60,0.66,0.00,3.00,0.58,9.00
protection,2.00,2.60,0.70,2.50,2.00,4.00,10.00,2.59,-0.12,,0.59,0.59,0.63,0.00,0.59,3.00,0.59,10.00
sentimentality,4.00,3.45,0.82,3.00,2.00,5.00,11.00,3.41,0.70,,-0.59,0.59,0.63,0.59,0.00,3.00,0.59,11.00
superintendent,4.00,3.09,0.70,3.00,2.00,4.00,11.00,3.12,0.42,,-0.88,0.88,0.53,0.88,0.00,3.00,0.31,11.00
underprivileged,3.00,3.42,0.51,3.00,3.00,4.00,12.00,3.40,0.70,,0.40,0.40,0.71,0.00,0.40,3.00,0.29,12.00
passably,3.00,2.64,0.92,2.00,2.00,5.00,11.00,2.58,-0.12,,-0.42,0.42,0.71,0.42,0.00,3.00,0.35,11.00
repulsively,4.00,3.64,0.81,4.00,2.00,5.00,11.00,3.35,0.65,,-0.65,0.65,0.61,0.65,0.00,3.00,0.17,11.00
liberalizing,4.00,3.09,0.54,3.00,2.00,4.00,11.00,3.13,0.42,,-0.87,0.87,0.53,0.87,0.00,3.00,0.80,11.00
mortified,3.00,2.73,0.65,3.00,2.00,4.00,11.00,2.59,-0.11,,-0.41,0.41,0.71,0.41,0.00,3.00,0.83,11.00
retinal,2.00,2.33,0.87,3.00,1.00,3.00,9.00,2.13,-0.58,,0.13,0.13,0.89,0.00,0.13,2.00,0.93,9.00
sprinter,2.00,2.00,0.50,2.00,1.00,3.00,9.00,2.02,-0.69,,0.02,0.02,0.98,0.00,0.02,2.00,0.04,9.00
