Stimulus,ELP_N_morphs,Crowdsourced_Mean_Morpheme_Count,Crowdsourced_Raw_SD,Crowdsourced_Raw_Median,Crowdsourced_Min,Crowdsourced_Max,Crowdsourced_N,BLUP_Adjusted_Moprheme_Count,BLUP_Adjustment,Transparencey_Measures: ,Signed_Discrepancy_BLUP_minus_ELP,Absolute_Discrepancy,Transparency_Proximity_0_1,Undersegmentation,Oversegmentation,BLUP_Rounded,Item_Rest_Cor,Item_Rest_N
defrosted,3.00,3.00,0.00,3.00,3.00,3.00,11.00,3.03,0.33,,0.03,0.03,0.97,0.00,0.03,3.00,,11.00
deleverage,2.00,3.00,1.00,3.00,1.00,4.00,9.00,2.70,-0.01,,0.70,0.70,0.59,0.00,0.70,3.00,0.81,9.00
deployment,2.00,2.73,0.47,3.00,2.00,3.00,11.00,2.70,0.00,,0.70,0.70,0.59,0.00,0.70,3.00,0.60,11.00
desalination,3.00,3.40,0.70,3.50,2.00,4.00,10.00,3.29,0.58,,0.29,0.29,0.78,0.00,0.29,3.00,0.61,10.00
destructible,3.00,3.09,0.54,3.00,2.00,4.00,11.00,3.10,0.39,,0.10,0.10,0.91,0.00,0.10,3.00,0.71,11.00
detectable,2.00,3.00,0.71,3.00,2.00,4.00,9.00,2.71,0.01,,0.71,0.71,0.58,0.00,0.71,3.00,0.60,9.00
devastatingly,3.00,3.33,1.07,3.00,2.00,5.00,12.00,3.26,0.56,,0.26,0.26,0.79,0.00,0.26,3.00,0.68,12.00
disappearing,3.00,3.11,0.60,3.00,2.00,4.00,9.00,3.00,0.30,,0.00,0.00,1.00,0.00,0.00,3.00,0.50,9.00
disarms,3.00,2.80,0.41,3.00,2.00,3.00,15.00,2.73,0.03,,-0.27,0.27,0.79,0.27,0.00,3.00,0.04,15.00
dispensers,4.00,3.58,0.51,4.00,3.00,4.00,12.00,3.53,0.82,,-0.47,0.47,0.68,0.47,0.00,4.00,0.13,12.00
disrobes,3.00,2.67,0.49,3.00,2.00,3.00,12.00,2.55,-0.16,,-0.45,0.45,0.69,0.45,0.00,3.00,0.06,12.00
divinely,2.00,2.40,0.52,2.00,2.00,3.00,10.00,2.40,-0.30,,0.40,0.40,0.71,0.00,0.40,2.00,0.41,10.00
doers,3.00,2.45,0.69,3.00,1.00,3.00,11.00,2.56,-0.14,,-0.44,0.44,0.70,0.44,0.00,3.00,0.45,11.00
doubly,2.00,2.10,0.32,2.00,2.00,3.00,10.00,2.10,-0.61,,0.10,0.10,0.91,0.00,0.10,2.00,-0.07,10.00
downgrades,3.00,3.00,0.00,3.00,3.00,3.00,11.00,2.91,0.21,,-0.09,0.09,0.92,0.09,0.00,3.00,,11.00
downwards,3.00,2.73,0.47,3.00,2.00,3.00,11.00,2.69,-0.01,,-0.31,0.31,0.77,0.31,0.00,3.00,0.67,11.00
dramatists,3.00,2.80,0.63,3.00,2.00,4.00,10.00,2.85,0.14,,-0.15,0.15,0.87,0.15,0.00,3.00,0.83,10.00
drummers,3.00,2.50,0.67,3.00,1.00,3.00,12.00,2.62,-0.08,,-0.38,0.38,0.73,0.38,0.00,3.00,0.77,12.00
educators,4.00,2.82,0.60,3.00,2.00,4.00,11.00,2.82,0.11,,-1.18,1.18,0.46,1.18,0.00,3.00,0.75,11.00
effectively,4.00,2.70,0.67,3.00,2.00,4.00,10.00,2.71,0.00,,-1.29,1.29,0.44,1.29,0.00,3.00,0.51,10.00
ejections,4.00,3.00,0.43,3.00,2.00,4.00,12.00,2.87,0.17,,-1.13,1.13,0.47,1.13,0.00,3.00,0.59,12.00
embolden,3.00,2.91,0.30,3.00,2.00,3.00,11.00,2.84,0.14,,-0.16,0.16,0.86,0.16,0.00,3.00,0.66,11.00
engulfs,3.00,2.50,0.53,2.50,2.00,3.00,10.00,2.64,-0.06,,-0.36,0.36,0.74,0.36,0.00,3.00,0.60,10.00
ensures,3.00,2.36,0.67,2.00,1.00,3.00,11.00,2.56,-0.14,,-0.44,0.44,0.70,0.44,0.00,3.00,0.95,11.00
epilepsies,3.00,2.67,0.50,3.00,2.00,3.00,9.00,2.75,0.04,,-0.25,0.25,0.80,0.25,0.00,3.00,0.68,9.00
excessive,3.00,2.50,0.67,3.00,1.00,3.00,12.00,2.63,-0.08,,-0.37,0.37,0.73,0.37,0.00,3.00,0.40,12.00
expectancy,3.00,2.63,0.92,3.00,1.00,4.00,8.00,2.67,-0.03,,-0.33,0.33,0.75,0.33,0.00,3.00,0.62,8.00
expressing,3.00,2.80,0.63,3.00,2.00,4.00,10.00,2.94,0.24,,-0.06,0.06,0.95,0.06,0.00,3.00,0.42,10.00
falconers,3.00,2.82,0.60,3.00,2.00,4.00,11.00,2.74,0.04,,-0.26,0.26,0.79,0.26,0.00,3.00,-0.07,11.00
fattening,3.00,2.92,0.67,3.00,2.00,4.00,12.00,2.91,0.21,,-0.09,0.09,0.92,0.09,0.00,3.00,0.49,12.00
flapper,2.00,2.08,0.51,2.00,1.00,3.00,12.00,2.11,-0.60,,0.11,0.11,0.90,0.00,0.11,2.00,0.44,12.00
foolery,2.00,2.58,0.51,3.00,2.00,3.00,12.00,2.61,-0.10,,0.61,0.61,0.62,0.00,0.61,3.00,0.60,12.00
goddesses,3.00,3.00,0.50,3.00,2.00,4.00,9.00,3.10,0.39,,0.10,0.10,0.91,0.00,0.10,3.00,0.66,9.00
horniest,3.00,2.58,0.51,3.00,2.00,3.00,12.00,2.60,-0.10,,-0.40,0.40,0.72,0.40,0.00,3.00,0.84,12.00
inappropriate,4.00,3.17,1.03,3.00,2.00,5.00,12.00,2.96,0.25,,-1.04,1.04,0.49,1.04,0.00,3.00,0.86,12.00
inappropriateness,5.00,3.55,0.82,3.00,3.00,5.00,11.00,3.59,0.88,,-1.41,1.41,0.41,1.41,0.00,4.00,0.41,11.00
incapably,3.00,2.70,0.48,3.00,2.00,3.00,10.00,2.82,0.12,,-0.18,0.18,0.85,0.18,0.00,3.00,0.61,10.00
inception,3.00,3.00,0.43,3.00,2.00,4.00,12.00,2.81,0.11,,-0.19,0.19,0.84,0.19,0.00,3.00,0.34,12.00
incubation,2.00,2.80,0.63,3.00,2.00,4.00,10.00,2.91,0.21,,0.91,0.91,0.52,0.00,0.91,3.00,0.40,10.00
indulgently,3.00,3.30,0.67,3.00,2.00,4.00,10.00,3.07,0.36,,0.07,0.07,0.94,0.00,0.07,3.00,0.78,10.00
inferential,4.00,3.33,0.50,3.00,3.00,4.00,9.00,3.19,0.49,,-0.81,0.81,0.55,0.81,0.00,3.00,0.72,9.00
infrequently,4.00,2.90,0.32,3.00,2.00,3.00,10.00,3.02,0.31,,-0.98,0.98,0.50,0.98,0.00,3.00,-0.09,10.00
initialled,3.00,2.50,0.53,2.50,2.00,3.00,8.00,2.49,-0.22,,-0.51,0.51,0.66,0.51,0.00,2.00,0.58,8.00
injustice,3.00,2.75,0.45,3.00,2.00,3.00,12.00,2.65,-0.06,,-0.35,0.35,0.74,0.35,0.00,3.00,0.18,12.00
instinctual,2.00,2.77,0.60,3.00,2.00,4.00,13.00,2.69,-0.02,,0.69,0.69,0.59,0.00,0.69,3.00,0.72,13.00
intermission,3.00,2.33,0.89,2.00,1.00,4.00,12.00,2.37,-0.33,,-0.63,0.63,0.62,0.63,0.00,2.00,0.90,12.00
intersections,4.00,3.58,0.67,3.50,3.00,5.00,12.00,3.43,0.72,,-0.57,0.57,0.64,0.57,0.00,3.00,0.80,12.00
knighthoods,3.00,2.85,0.38,3.00,2.00,3.00,13.00,2.86,0.16,,-0.14,0.14,0.88,0.14,0.00,3.00,0.42,13.00
magicians,3.00,2.40,0.84,3.00,1.00,3.00,10.00,2.45,-0.26,,-0.55,0.55,0.64,0.55,0.00,2.00,0.47,10.00
metaphors,3.00,3.08,0.67,3.00,2.00,4.00,12.00,2.97,0.27,,-0.03,0.03,0.97,0.03,0.00,3.00,0.79,12.00
microstructures,4.00,3.25,0.62,3.00,2.00,4.00,12.00,3.26,0.56,,-0.74,0.74,0.57,0.74,0.00,3.00,0.75,12.00
miscasting,3.00,2.83,0.39,3.00,2.00,3.00,12.00,2.77,0.06,,-0.23,0.23,0.81,0.23,0.00,3.00,0.62,12.00
misspellings,4.00,3.82,0.40,4.00,3.00,4.00,11.00,3.64,0.93,,-0.36,0.36,0.73,0.36,0.00,4.00,-0.03,11.00
modifiers,3.00,3.00,0.71,3.00,2.00,4.00,9.00,2.86,0.16,,-0.14,0.14,0.88,0.14,0.00,3.00,0.82,9.00
monogamous,3.00,2.50,0.52,2.50,2.00,3.00,12.00,2.59,-0.11,,-0.41,0.41,0.71,0.41,0.00,3.00,0.49,12.00
mutations,4.00,2.73,0.79,3.00,2.00,4.00,11.00,2.75,0.05,,-1.25,1.25,0.45,1.25,0.00,3.00,0.81,11.00
narrations,3.00,3.00,0.67,3.00,2.00,4.00,10.00,2.98,0.27,,-0.02,0.02,0.98,0.02,0.00,3.00,0.61,10.00
nationally,3.00,2.83,0.58,3.00,2.00,4.00,12.00,2.79,0.09,,-0.21,0.21,0.83,0.21,0.00,3.00,0.80,12.00
neutralists,4.00,3.10,0.57,3.00,2.00,4.00,10.00,3.15,0.45,,-0.85,0.85,0.54,0.85,0.00,3.00,0.81,10.00
offspring,2.00,1.88,0.64,2.00,1.00,3.00,8.00,2.09,-0.61,,0.09,0.09,0.91,0.00,0.09,2.00,0.53,8.00
outbids,3.00,2.46,0.66,3.00,1.00,3.00,13.00,2.40,-0.30,,-0.60,0.60,0.63,0.60,0.00,2.00,0.01,13.00
outstretched,3.00,3.00,0.43,3.00,2.00,4.00,12.00,2.97,0.26,,-0.03,0.03,0.97,0.03,0.00,3.00,-0.44,12.00
overbalancing,3.00,3.17,1.11,3.00,1.00,6.00,12.00,3.00,0.30,,0.00,0.00,1.00,0.00,0.00,3.00,0.72,12.00
overthrows,3.00,2.77,0.44,3.00,2.00,3.00,13.00,2.83,0.13,,-0.17,0.17,0.86,0.17,0.00,3.00,0.41,13.00
packers,3.00,2.38,0.87,2.00,1.00,4.00,13.00,2.54,-0.16,,-0.46,0.46,0.69,0.46,0.00,3.00,0.26,13.00
paraphrased,3.00,3.10,0.57,3.00,2.00,4.00,10.00,3.06,0.35,,0.06,0.06,0.94,0.00,0.06,3.00,0.77,10.00
patronizing,3.00,3.09,0.54,3.00,2.00,4.00,11.00,2.93,0.22,,-0.07,0.07,0.93,0.07,0.00,3.00,0.84,11.00
persecutor,3.00,2.82,0.75,3.00,2.00,4.00,11.00,2.76,0.06,,-0.24,0.24,0.81,0.24,0.00,3.00,0.69,11.00
phonetics,2.00,2.64,0.81,3.00,1.00,4.00,11.00,2.56,-0.15,,0.56,0.56,0.64,0.00,0.56,3.00,0.60,11.00
physician,3.00,2.25,0.71,2.00,1.00,3.00,8.00,2.24,-0.47,,-0.76,0.76,0.57,0.76,0.00,2.00,0.63,8.00
picketer,2.00,2.55,0.52,3.00,2.00,3.00,11.00,2.52,-0.18,,0.52,0.52,0.66,0.00,0.52,3.00,0.55,11.00
predisposition,4.00,3.54,0.52,4.00,3.00,4.00,13.00,3.36,0.65,,-0.64,0.64,0.61,0.64,0.00,3.00,0.64,13.00
prejudging,3.00,2.89,0.33,3.00,2.00,3.00,9.00,3.03,0.33,,0.03,0.03,0.97,0.00,0.03,3.00,0.74,9.00
primitiveness,3.00,2.83,0.58,3.00,2.00,4.00,12.00,2.89,0.18,,-0.11,0.11,0.90,0.11,0.00,3.00,0.64,12.00
prowlers,3.00,2.64,0.67,3.00,1.00,3.00,11.00,2.72,0.02,,-0.28,0.28,0.78,0.28,0.00,3.00,0.75,11.00
rainiest,3.00,2.67,0.49,3.00,2.00,3.00,12.00,2.65,-0.06,,-0.35,0.35,0.74,0.35,0.00,3.00,0.56,12.00
reasoner,2.00,2.33,0.49,2.00,2.00,3.00,12.00,2.31,-0.40,,0.31,0.31,0.76,0.00,0.31,2.00,0.60,12.00
recallable,3.00,3.18,0.40,3.00,3.00,4.00,11.00,2.95,0.25,,-0.05,0.05,0.96,0.05,0.00,3.00,0.63,11.00
redeploy,2.00,2.46,0.52,2.00,2.00,3.00,13.00,2.53,-0.18,,0.53,0.53,0.65,0.00,0.53,3.00,0.72,13.00
renewed,3.00,2.80,0.42,3.00,2.00,3.00,10.00,2.70,0.00,,-0.30,0.30,0.77,0.30,0.00,3.00,0.62,10.00
replaceable,3.00,3.00,0.45,3.00,2.00,4.00,11.00,2.99,0.28,,-0.01,0.01,0.99,0.01,0.00,3.00,0.25,11.00
resettlement,3.00,2.90,0.32,3.00,2.00,3.00,10.00,2.86,0.15,,-0.14,0.14,0.87,0.14,0.00,3.00,0.43,10.00
restorations,3.00,3.83,0.72,4.00,2.00,5.00,12.00,3.68,0.98,,0.68,0.68,0.59,0.00,0.68,4.00,0.68,12.00
reusing,3.00,2.82,0.40,3.00,2.00,3.00,11.00,2.66,-0.05,,-0.34,0.34,0.75,0.34,0.00,3.00,0.07,11.00
rewording,3.00,2.88,0.35,3.00,2.00,3.00,8.00,2.88,0.17,,-0.12,0.12,0.89,0.12,0.00,3.00,0.30,8.00
rhetorically,3.00,3.09,0.83,3.00,2.00,5.00,11.00,2.95,0.24,,-0.05,0.05,0.95,0.05,0.00,3.00,0.71,11.00
secretively,3.00,3.00,0.85,3.00,2.00,4.00,12.00,2.98,0.28,,-0.02,0.02,0.98,0.02,0.00,3.00,0.72,12.00
sensationalism,5.00,3.50,1.17,3.00,2.00,6.00,12.00,3.39,0.68,,-1.61,1.61,0.38,1.61,0.00,3.00,0.85,12.00
simplifies,3.00,2.86,0.53,3.00,2.00,4.00,14.00,2.84,0.13,,-0.16,0.16,0.86,0.16,0.00,3.00,0.74,14.00
simulations,4.00,2.80,0.63,3.00,2.00,4.00,10.00,2.90,0.20,,-1.10,1.10,0.48,1.10,0.00,3.00,0.80,10.00
slavishly,3.00,2.69,0.48,3.00,2.00,3.00,13.00,2.55,-0.16,,-0.45,0.45,0.69,0.45,0.00,3.00,0.44,13.00
slickers,3.00,2.50,0.52,2.50,2.00,3.00,12.00,2.57,-0.14,,-0.43,0.43,0.70,0.43,0.00,3.00,0.24,12.00
snipers,3.00,2.67,0.65,3.00,1.00,3.00,12.00,2.68,-0.02,,-0.32,0.32,0.76,0.32,0.00,3.00,0.75,12.00
soloists,3.00,2.44,0.53,2.00,2.00,3.00,9.00,2.55,-0.15,,-0.45,0.45,0.69,0.45,0.00,3.00,0.40,9.00
specializes,3.00,3.00,0.71,3.00,2.00,4.00,13.00,2.95,0.24,,-0.05,0.05,0.95,0.05,0.00,3.00,0.77,13.00
spiritualized,4.00,3.40,0.97,3.50,2.00,5.00,10.00,3.38,0.67,,-0.62,0.62,0.62,0.62,0.00,3.00,0.77,10.00
spiritually,3.00,3.30,0.67,3.00,2.00,4.00,10.00,2.96,0.25,,-0.04,0.04,0.96,0.04,0.00,3.00,0.73,10.00
stabilization,3.00,3.64,0.92,4.00,2.00,5.00,11.00,3.56,0.85,,0.56,0.56,0.64,0.00,0.56,4.00,0.63,11.00
stammerer,2.00,2.56,0.53,3.00,2.00,3.00,9.00,2.58,-0.13,,0.58,0.58,0.63,0.00,0.58,3.00,0.31,9.00
structures,3.00,2.40,0.70,2.50,1.00,3.00,10.00,2.35,-0.36,,-0.65,0.65,0.60,0.65,0.00,2.00,0.69,10.00
stylized,3.00,2.58,0.67,3.00,1.00,3.00,12.00,2.51,-0.20,,-0.49,0.49,0.67,0.49,0.00,3.00,0.24,12.00
subleases,3.00,2.82,0.60,3.00,2.00,4.00,11.00,2.85,0.15,,-0.15,0.15,0.87,0.15,0.00,3.00,0.62,11.00
subroutines,3.00,3.11,0.60,3.00,2.00,4.00,9.00,3.10,0.39,,0.10,0.10,0.91,0.00,0.10,3.00,0.11,9.00
suppressors,4.00,2.89,0.60,3.00,2.00,4.00,9.00,2.92,0.22,,-1.08,1.08,0.48,1.08,0.00,3.00,0.61,9.00
sweetener,3.00,2.67,0.49,3.00,2.00,3.00,12.00,2.76,0.05,,-0.24,0.24,0.81,0.24,0.00,3.00,0.80,12.00
synthesizer,4.00,2.80,0.92,2.50,2.00,4.00,10.00,2.85,0.14,,-1.15,1.15,0.46,1.15,0.00,3.00,0.78,10.00
testicular,2.00,2.55,0.69,2.00,2.00,4.00,11.00,2.63,-0.07,,0.63,0.63,0.61,0.00,0.63,3.00,0.80,11.00
theorizing,3.00,3.10,0.32,3.00,3.00,4.00,10.00,3.01,0.31,,0.01,0.01,0.99,0.00,0.01,3.00,0.66,10.00
tightens,3.00,2.30,0.82,2.50,1.00,3.00,10.00,2.44,-0.26,,-0.56,0.56,0.64,0.56,0.00,2.00,0.88,10.00
transcribes,3.00,2.82,0.40,3.00,2.00,3.00,11.00,2.75,0.05,,-0.25,0.25,0.80,0.25,0.00,3.00,0.17,11.00
transitive,2.00,2.25,0.75,2.00,1.00,3.00,12.00,2.48,-0.23,,0.48,0.48,0.68,0.00,0.48,2.00,0.61,12.00
ultraconservatives,4.00,4.36,0.92,4.00,3.00,6.00,11.00,4.20,1.50,,0.20,0.20,0.83,0.00,0.20,4.00,0.55,11.00
unchanged,3.00,2.89,0.33,3.00,2.00,3.00,9.00,2.89,0.19,,-0.11,0.11,0.90,0.11,0.00,3.00,0.47,9.00
undercut,2.00,2.30,0.48,2.00,2.00,3.00,10.00,2.30,-0.41,,0.30,0.30,0.77,0.00,0.30,2.00,0.42,10.00
unfairness,3.00,3.09,0.30,3.00,3.00,4.00,11.00,2.99,0.28,,-0.01,0.01,0.99,0.01,0.00,3.00,0.61,11.00
unhealthily,4.00,3.18,0.40,3.00,3.00,4.00,11.00,3.07,0.36,,-0.93,0.93,0.52,0.93,0.00,3.00,0.73,11.00
uniformity,3.00,3.00,0.45,3.00,2.00,4.00,11.00,3.02,0.31,,0.02,0.02,0.98,0.00,0.02,3.00,0.80,11.00
unionizing,4.00,2.91,0.54,3.00,2.00,4.00,11.00,2.98,0.27,,-1.02,1.02,0.49,1.02,0.00,3.00,0.84,11.00
unlocked,3.00,2.92,0.29,3.00,2.00,3.00,12.00,2.70,0.00,,-0.30,0.30,0.77,0.30,0.00,3.00,0.42,12.00
unnaturally,4.00,3.55,0.82,4.00,2.00,5.00,11.00,3.43,0.73,,-0.57,0.57,0.64,0.57,0.00,3.00,0.65,11.00
unresponsive,3.00,2.92,0.51,3.00,2.00,4.00,12.00,2.93,0.23,,-0.07,0.07,0.94,0.07,0.00,3.00,0.45,12.00
unsaturated,4.00,3.36,0.67,3.00,3.00,5.00,11.00,3.22,0.51,,-0.78,0.78,0.56,0.78,0.00,3.00,0.64,11.00
unsettle,2.00,2.50,0.52,2.50,2.00,3.00,12.00,2.36,-0.35,,0.36,0.36,0.74,0.00,0.36,2.00,0.60,12.00
unshaved,3.00,2.80,0.42,3.00,2.00,3.00,10.00,2.77,0.06,,-0.23,0.23,0.81,0.23,0.00,3.00,0.51,10.00
unsuitable,3.00,2.92,0.29,3.00,2.00,3.00,12.00,2.96,0.25,,-0.04,0.04,0.96,0.04,0.00,3.00,0.34,12.00
untangled,3.00,3.00,0.00,3.00,3.00,3.00,10.00,2.82,0.11,,-0.18,0.18,0.85,0.18,0.00,3.00,,10.00
untreated,3.00,3.00,0.00,3.00,3.00,3.00,12.00,2.88,0.17,,-0.12,0.12,0.89,0.12,0.00,3.00,,12.00
unwelcome,2.00,2.46,0.66,3.00,1.00,3.00,13.00,2.39,-0.32,,0.39,0.39,0.72,0.00,0.39,2.00,0.59,13.00
unwritten,3.00,2.78,0.44,3.00,2.00,3.00,9.00,2.78,0.08,,-0.22,0.22,0.82,0.22,0.00,3.00,0.37,9.00
upcoming,3.00,2.90,0.32,3.00,2.00,3.00,10.00,2.91,0.21,,-0.09,0.09,0.92,0.09,0.00,3.00,0.32,10.00
urbanisation,3.00,3.27,1.01,3.00,2.00,5.00,11.00,3.23,0.52,,0.23,0.23,0.81,0.00,0.23,3.00,0.85,11.00
visibility,3.00,2.75,0.75,3.00,2.00,4.00,12.00,2.82,0.12,,-0.18,0.18,0.85,0.18,0.00,3.00,0.42,12.00
worthiness,3.00,2.83,0.39,3.00,2.00,3.00,12.00,2.80,0.09,,-0.20,0.20,0.83,0.20,0.00,3.00,0.21,12.00
announcements,4.00,3.23,0.73,3.00,2.00,4.00,13.00,3.31,0.61,,-0.69,0.69,0.59,0.69,0.00,3.00,0.36,13.00
convulsions,3.00,3.09,0.70,3.00,2.00,4.00,11.00,3.08,0.38,,0.08,0.08,0.92,0.00,0.08,3.00,0.51,11.00
delectable,2.00,2.69,0.63,3.00,2.00,4.00,13.00,2.71,0.00,,0.71,0.71,0.59,0.00,0.71,3.00,0.28,13.00
denominators,5.00,3.85,0.90,4.00,2.00,5.00,13.00,3.77,1.07,,-1.23,1.23,0.45,1.23,0.00,4.00,0.35,13.00
departures,3.00,3.10,0.88,3.00,2.00,4.00,10.00,3.14,0.43,,0.14,0.14,0.88,0.00,0.14,3.00,0.25,10.00
desensitized,4.00,3.50,0.52,3.50,3.00,4.00,12.00,3.50,0.79,,-0.50,0.50,0.67,0.50,0.00,3.00,0.53,12.00
destructiveness,4.00,3.27,0.79,3.00,2.00,4.00,11.00,3.23,0.52,,-0.77,0.77,0.56,0.77,0.00,3.00,0.79,11.00
disbelievers,4.00,3.50,0.53,3.50,3.00,4.00,10.00,3.51,0.80,,-0.49,0.49,0.67,0.49,0.00,4.00,0.48,10.00
disempowerment,3.00,3.64,0.67,4.00,2.00,4.00,11.00,3.67,0.97,,0.67,0.67,0.60,0.00,0.67,4.00,0.81,11.00
eventualities,4.00,3.80,1.23,4.00,2.00,6.00,10.00,3.79,1.08,,-0.21,0.21,0.82,0.21,0.00,4.00,0.87,10.00
exhibitionist,4.00,3.27,0.79,3.00,2.00,4.00,11.00,3.25,0.54,,-0.75,0.75,0.57,0.75,0.00,3.00,0.68,11.00
existentialists,6.00,4.09,1.22,4.00,1.00,5.00,11.00,3.98,1.28,,-2.02,2.02,0.33,2.02,0.00,4.00,0.90,11.00
internalised,5.00,3.33,0.98,3.50,2.00,5.00,12.00,3.33,0.63,,-1.67,1.67,0.38,1.67,0.00,3.00,0.75,12.00
invalidates,4.00,3.08,0.51,3.00,2.00,4.00,12.00,3.22,0.51,,-0.78,0.78,0.56,0.78,0.00,3.00,0.48,12.00
invariability,4.00,3.64,1.50,3.00,1.00,7.00,11.00,3.71,1.01,,-0.29,0.29,0.78,0.29,0.00,4.00,0.80,11.00
nonoverlapping,3.00,3.93,0.47,4.00,3.00,5.00,14.00,3.91,1.20,,0.91,0.91,0.52,0.00,0.91,4.00,0.60,14.00
offhandedly,4.00,3.70,0.48,4.00,3.00,4.00,10.00,3.56,0.86,,-0.44,0.44,0.70,0.44,0.00,4.00,0.51,10.00
outfielders,4.00,3.18,0.87,3.00,1.00,4.00,11.00,3.09,0.39,,-0.91,0.91,0.52,0.91,0.00,3.00,0.82,11.00
patronizingly,4.00,3.56,0.73,3.00,3.00,5.00,9.00,3.55,0.85,,-0.45,0.45,0.69,0.45,0.00,4.00,0.24,9.00
postulations,4.00,3.33,0.49,3.00,3.00,4.00,12.00,3.39,0.68,,-0.61,0.61,0.62,0.61,0.00,3.00,0.57,12.00
recapped,3.00,3.00,0.43,3.00,2.00,4.00,12.00,2.80,0.10,,-0.20,0.20,0.83,0.20,0.00,3.00,-0.34,12.00
reinstituted,3.00,3.36,0.50,3.00,3.00,4.00,11.00,3.35,0.64,,0.35,0.35,0.74,0.00,0.35,3.00,0.13,11.00
revivals,4.00,3.27,0.79,3.00,2.00,4.00,11.00,3.13,0.42,,-0.87,0.87,0.53,0.87,0.00,3.00,0.47,11.00
semiconductor,4.00,3.20,0.63,3.00,2.00,4.00,10.00,3.22,0.51,,-0.78,0.78,0.56,0.78,0.00,3.00,0.80,10.00
solidification,3.00,3.80,0.92,4.00,2.00,5.00,10.00,3.72,1.02,,0.72,0.72,0.58,0.00,0.72,4.00,0.69,10.00
unconstitutional,5.00,3.77,1.09,4.00,2.00,6.00,13.00,3.81,1.10,,-1.19,1.19,0.46,1.19,0.00,4.00,0.81,13.00
undersecretaries,3.00,4.09,1.30,4.00,2.00,6.00,11.00,3.91,1.20,,0.91,0.91,0.52,0.00,0.91,4.00,0.79,11.00
unquestionable,4.00,3.73,0.79,4.00,3.00,5.00,11.00,3.54,0.84,,-0.46,0.46,0.69,0.46,0.00,4.00,0.94,11.00
unselfishly,4.00,3.44,0.53,3.00,3.00,4.00,9.00,3.32,0.61,,-0.68,0.68,0.59,0.68,0.00,3.00,0.25,9.00
untraditional,3.00,3.70,0.82,3.50,3.00,5.00,10.00,3.51,0.81,,0.51,0.51,0.66,0.00,0.51,4.00,0.80,10.00
reinvigorated,3.00,3.64,1.03,3.00,2.00,5.00,11.00,3.75,1.05,,0.75,0.75,0.57,0.00,0.75,4.00,0.79,11.00
suburbanized,5.00,3.55,0.69,3.00,3.00,5.00,11.00,3.69,0.98,,-1.31,1.31,0.43,1.31,0.00,4.00,0.54,11.00
subleased,3.00,2.91,0.30,3.00,2.00,3.00,11.00,2.87,0.17,,-0.13,0.13,0.89,0.13,0.00,3.00,0.61,11.00
literal,2.00,1.50,0.52,1.50,1.00,2.00,12.00,1.63,-1.07,,-0.37,0.37,0.73,0.37,0.00,2.00,0.56,12.00
unify,2.00,1.82,0.40,2.00,1.00,2.00,11.00,1.93,-0.78,,-0.07,0.07,0.93,0.07,0.00,2.00,0.22,11.00
urinal,2.00,1.75,0.62,2.00,1.00,3.00,12.00,1.79,-0.91,,-0.21,0.21,0.83,0.21,0.00,2.00,0.56,12.00
action,2.00,1.80,0.42,2.00,1.00,2.00,10.00,1.85,-0.85,,-0.15,0.15,0.87,0.15,0.00,2.00,0.73,10.00
adaptable,2.00,2.17,0.72,2.00,1.00,4.00,12.00,2.31,-0.40,,0.31,0.31,0.77,0.00,0.31,2.00,0.45,12.00
allergic,2.00,2.00,0.60,2.00,1.00,3.00,12.00,2.07,-0.63,,0.07,0.07,0.93,0.00,0.07,2.00,0.36,12.00
analyzer,3.00,2.36,0.81,2.00,1.00,4.00,11.00,2.39,-0.31,,-0.61,0.61,0.62,0.61,0.00,2.00,0.72,11.00
answerable,2.00,2.27,0.47,2.00,2.00,3.00,11.00,2.23,-0.47,,0.23,0.23,0.81,0.00,0.23,2.00,0.51,11.00
boozer,2.00,2.08,0.29,2.00,2.00,3.00,12.00,2.08,-0.63,,0.08,0.08,0.93,0.00,0.08,2.00,0.31,12.00
browner,2.00,2.00,0.00,2.00,2.00,2.00,12.00,1.93,-0.77,,-0.07,0.07,0.94,0.07,0.00,2.00,,12.00
bummer,2.00,2.00,0.00,2.00,2.00,2.00,12.00,1.90,-0.81,,-0.10,0.10,0.91,0.10,0.00,2.00,,12.00
chargeable,2.00,2.08,0.28,2.00,2.00,3.00,13.00,2.26,-0.45,,0.26,0.26,0.80,0.00,0.26,2.00,0.59,13.00
chiller,2.00,1.90,0.32,2.00,1.00,2.00,10.00,2.17,-0.54,,0.17,0.17,0.86,0.00,0.17,2.00,0.61,10.00
commonness,2.00,2.27,0.47,2.00,2.00,3.00,11.00,2.37,-0.34,,0.37,0.37,0.73,0.00,0.37,2.00,0.58,11.00
criticized,3.00,2.58,0.51,3.00,2.00,3.00,12.00,2.68,-0.03,,-0.32,0.32,0.76,0.32,0.00,3.00,0.70,12.00
defeatism,2.00,2.55,0.52,3.00,2.00,3.00,11.00,2.50,-0.20,,0.50,0.50,0.66,0.00,0.50,3.00,0.40,11.00
defrost,2.00,2.00,0.00,2.00,2.00,2.00,11.00,1.95,-0.76,,-0.05,0.05,0.95,0.05,0.00,2.00,,11.00
degenerate,3.00,2.54,0.88,2.00,1.00,4.00,13.00,2.66,-0.05,,-0.34,0.34,0.74,0.34,0.00,3.00,0.80,13.00
